№ п/п;ГРБС;Наименование ОКС;Этап строительства;Адрес;Координаты;;Отрасль;Статус;Собственность;АМО;Заказчик;Наименование НП/ГП;Наименование ФП;Код проекта;ОБЩАЯ пл., м2;"Мошность
(кол-во мест)";ЭКСПЕРТИЗА(Ы);Год начала;Год окончания;Сроки строительства;Дата передачи земельного участка заказчику;Дата получения разрешения на строительство (реконструкцию);Дата заключения контракта;Сроки контракта;Подрядчик;Строительная готовность;Дата установки технологического оборудования;Дата акта гидравлических испытаний;ЗОС;;АКТ ВВОДА;;Год ввода в эксплуатацию;Фото
;;;;;Широта;Долгота;;;;;;;;;;;;;;;;;;;;;;;дата;номер;дата;номер;;
1;2;3;4;5;6;7;8;9;10;11;12;14;15;16;17;18;20;21;22;23;24;25;26;27;30;58;65;66;67;68;69;70;73;74
31;Министерство строительства ТО;Строительство онкологического центра г. Тула;Введен в эксплуатацию;г.Тула, ш. Калужское, д.60;54.159662;37.528500;Здравоохранение;Введен в эксплуатацию;Государственная;АМО г. Тула;"ГУКС ""ТулоблУКС""";Здравоохранение;Борьба с онкологическими заболеваниями;N3;57133,4;400 посещений, 340 коек;от 21.09.2020 № 71-1-1-3-046635-2020, от 16.10.2020 № 71-1-1-2-052129-2020, от 22.12.2021 № 71-1-1-2-081235-2021, от 20.10.2022 № 71-1-1-2-074107-2022;2020;2024;2020-2024;15.08.2023;15.08.2023;15.08.2023;18.12.2020-15.08.2023;ППК «ВСК»;100;15.08.2023;15.08.2023;15.08.2023;;15.08.2023;;2024;
32;Министерство строительства ТО;Строительство 2 МКД в Плеханово г. Тула;Введен в эксплуатацию;г.Тула, п.Плеханово, ул.Заводская, д.31 и 32;54.246730;37.560018;Строительство;Введен в эксплуатацию;Муниципальная;АМО г. Тула;"ГУКС ""ТулоблУКС""";"ГП ТО ""Обеспечение доступным и комфортным жильем населения Тульской области""";-;-;9299,4;234;от 06.09.2023 № 71-2-1-3-053181-2023;2023;2024;2023-2024;30.11.2024;30.11.2024;30.11.2024;23.10.2023-30.11.2024;"АО СЗ ""Внешстрой""";100;30.11.2024;30.11.2024;30.11.2024;;30.11.2024;;2024;
33;Министерство строительства ТО;Строительство 2 МКД в Барсуках г. Тула;Введен в эксплуатацию;г.Тула, п.Барсуки, терр. Микрорайон, д.8 и 9;54.266123;37.495860;Строительство;Введен в эксплуатацию;Муниципальная;АМО г. Тула;"ГУКС ""ТулоблУКС""";"ГП ТО ""Обеспечение доступным и комфортным жильем населения Тульской области""";-;-;8557,2;172;от 21.11.2023 № 71-2-1-3-070372-2023;2023;2024;2023-2024;30.06.2025;30.06.2025;30.06.2025;11.12.2023-30.06.2025;"АО СЗ ""Перспектива""";100;30.06.2025;30.06.2025;30.06.2025;;30.06.2025;;2024;
34;Министерство строительства ТО;Строительство 3 МКД в г. Донской, мкр Центральный, ул. Октябрьская (в районе д.10);Введен в эксплуатацию;Тульская обл., г. Донской, мкр Центральный, ул. Октябрьская, д. 12, 14А, 16;53.968173;38.335409;Строительство;Введен в эксплуатацию;Муниципальная;АМО г. Донской;"ГУКС ""ТулоблУКС"", АМО г. Донской";"ГП ТО ""Обеспечение доступным и комфортным жильем населения Тульской области""""";-;-;7657,5;115;от 29.11.2023 № 71-2-1-3-072553-2023;2023;2024;2023-2024;10.12.2024;10.12.2024;10.12.2024;26.12.2023-10.12-2024;"ООО СЗ ""Донской""";100;10.12.2024;10.12.2024;10.12.2024;;10.12.2024;;2024;
35;Министерство строительства ТО;Строительство 2 МКД в п. Ленинский, ул Микрорайон;Введен в эксплуатацию;г.Тула, п.Ленинский, ул.Микрорайон, д.5 и 7;54.289360;37.450651;Строительство;Введен в эксплуатацию;Муниципальная;АМО г. Тула;"ГУКС ""ТулоблУКС""";"ГП ТО ""Обеспечение доступным и комфортным жильем населения Тульской области""";-;-;1564;27;;2024;2024;2024;31.12.2024;31.12.2024;31.12.2024;31.05.2024-31.12.2024;"ООО СЗ ""Регион""";100;31.12.2024;31.12.2024;31.12.2024;;31.12.2024;;2024;
36;АМО г. Тула;Строительство детского сада на 75 мест, расположенного по адресу: Тульская область, Ленинский район, поселок Петровский, на земельном участке с кадастровым номером 71:14:040401:10069;Введен в эксплуатацию;Тульская область, Ленинский район, пос. Петровский;54.178798;37.510167;Образование;Введен в эксплуатацию;Муниципальная;АМО г. Тула;АМО г. Тула;-;-;-;2 003,79;75;от 16.01.2024 № 71-1-3-001013-2024, от 24.12.2024 № 71-1-1-2-079639-2024;2025;2026;2025-2026;31.12.2025;31.12.2025;31.12.2025;10-03-2025-30.03.2026;"ООО ""Стройэталон Финанс""";100;31.12.2025;31.12.2025;05.12.2025;63;25.12.2025;71-14-67-2025;2025;
37;"АО ""КРТО""";Детский сад вместимостью 240 мест, расположенный по адресу тульская область, ленинский район, д. Нижняя Китаевка;Введен в эксплуатацию;"г. Тула, 
Калужское ш., д. 54";54.156065;37.553755;Образование;Введен в эксплуатацию;Муниципальная;АМО г. Тула;"АО ""КРТО""";инфраструктурные облигации;-;-;5 264,96;240;от 23.12.2022 № 71-1-1-3-0919*23-2022;2023;2025;2023-2025;30.05.2025;30.05.2025;30.05.2025;22.06.2023-30.05.2025;"АО СЗ ""Внешстрой""";100;30.05.2025;30.05.2025;27.06.2025;81;08.10.2025;71-14-41-2025;2025;
38;Министерство здравоохранения ТО;"Бассейн госпиталя ветеранов войн и труда государственного учреждения здравоохранения Тульской области ""Тульская областная клиническая больница""";Введен в эксплуатацию;Тульская область, Веневский р-н, п.Грицовский, ул.Первомайская, д.28;54.136548;38.168838;"Здравоохранение
";Введен в эксплуатацию;Государственная;АМО Веневский район;"ГУЗ ТО ""ТОКБ""";"государственная программа Тульской области ""Развитие здравоохранения Тульской области""и";-;-;1 017,40;12 посещений в смену;от 05.08.2025 № 71-1-1-2-045345-2025;2025;2025;2025;15.12.2025;15.12.2025;15.12.2025;15.12.2025;"ООО ""Полинит""";100;15.12.2025;15.12.2025;15.12.2025;;29.12.2025;71-05-37-2025;2025;
39;Министерство спорта ТО;"Строительство Физкультурно-оздоровительного комплекса в микрорайоне ""Бор"" города Алексин Тульской области";Введен в эксплуатацию;г. Тула, ул. 50 лет ВЛКСМ, 3Б;54.524329;37.074837;Физическая культура и спорт;Введен в эксплуатацию;Государственная;АМО г. Алексин;"ГУ ТО ""УСС""";"ГП ТО ""Развитие физической культуры и спорта Тульской области""";;-;2 921,50;108;от 21.02.2022 № 71-1-1-3-009655-2022;2024;2025;2024-2025;21.11.2025;21.11.2025;21.11.2025;14.06.2024-21.11.2025;"ООО ""СИМВОЛ""";100;21.11.2025;21.11.2025;22.08.2025;35;25.08.2025;71-01-12-2025;2025;
40;Министерство спорта ТО;Физкультурно-оздоровительный комплекс по адресу: Тульская обл., пос. Арсеньево;Введен в эксплуатацию;Тульская область, Арсеньевский район, р.п. Арсеньево ул. Советская 16;53.743167;36.663220;Физическая культура и спорт;Введен в эксплуатацию;Государственная;АМО Арсеньевский район;"ГУ ТО ""УСС""";"ГП ТО ""Развитие физической культуры и спорта Тульской области""";;-;1 495,00;92;от 17.06.2022 № 71-1-1-2-039013-2022;2024;2025;2024-2025;07.10.2025;07.10.2025;07.10.2025;25.06.2024 -07.10.2025;"ООО ""СИМВОЛ""";100;07.10.2025;07.10.2025;07.10.2025;;22.05.2025;РНВ-РФ71502000-2025-98;2025;
